Date	Total Tests	Daily Tests (ECLRS)	New Positive Cases (NYSDOH)	Total Positive Cases (TCHD)	Released from Isolation (TCHD)	Active Cases (TCHD)	Active COVID-19 Hospitalizations (CHS)	Total TC Resident Deaths (TCHD)	NYS Vaccine Tracker: Tompkins County 1st Dose	NYS Vaccine Tracker: Tompkins County Complete Series	Reported Positive Self-Tests	Total Positive Self-Tests
9/16/20	119,530		1	384	346	38	0	0				
9/17/20	125,452		2	386	352	34	0	0				
9/18/20	130,851		4	390	357	33	1	0				
9/19/20	136,184		3	393	364	29	1	0				
9/20/20	139,159		1	394	369	25	1	0				
9/21/20	142,199		1	395	375	20	0	0				
9/22/20	148,002		4	399	378	21	0	0				
9/23/20	154,077		3	402	380	22	0	0				
9/24/20	160,378		1	403	380	23	0	0				
9/25/20	166,411		1	404	383	21	0	0				
9/26/20	172,354		4	408	388	20	0	0				
9/27/20	174,974		1	409	391	18	0	0				
9/28/20	178,681		1	410	394	16	0	0				
9/29/20	185,305		4	414	397	17	0	0				
9/30/20	191,887		4	418	397	21	0	0				
10/1/20	198,266		4	422	401	21	0	0				
10/2/20	204,720		8	430	402	28	0	0				
10/3/20	209,804		2	432	402	30	0	0				
10/4/20	214,070		3	435	402	33	0	0				
10/5/20	216,965		5	440	408	32	0	0				
10/6/20	223,474		5	445	412	33	2	0				
10/7/20	230,067		5	450	412	38	2	0				
10/8/20	236,430		4	454	413	41	2	0				
10/9/20	242,564		3	457	419	38	2	0				
10/10/20	248,845		2	459	424	35	2	0				
10/11/20	251,586		5	464	428	36	2	0				
10/12/20	254,532		11	475	433	41	3	1				
10/13/20	261,040		7	482	436	45	3	1				
10/14/20	267,422		7	489	441	47	4	1				
10/15/20	273,785		5	494	448	45	4	1				
10/16/20	280,021		14	508	451	56	4	1				
10/17/20	284,100		8	516	459	56	5	1				
10/18/20	289,136		11	527	465	61	5	1				
10/19/20	292,249		4	531	471	59	9	1				
10/20/20	298,840		7	538	475	62	8	1				
10/21/20	305,480		16	554	477	76	9	1				
10/22/20	311,965		13	567	479	87	7	1				
10/23/20	317,129		8	575	488	86	6	1				
10/24/20	324,682		8	583	495	87	3	1				
10/25/20	327,755		12	595	507	87	5	1				
10/26/20	329,466		3	598	518	79	7	1				
10/27/20	335,977		5	603	533	69	7	1				
10/28/20	342,788		9	612	541	70	6	1				
10/29/20	349,296		10	622	544	77	4	1				
10/30/20	355,996		7	629	558	70	2	1				
10/31/20	362,258		8	637	572	64	4	1				
11/1/20	365,125		6	643	577	65	3	1				
11/2/20	368,132		3	646	589	56	4	1				
11/3/20	374,966		1	647	599	47	4	1				
11/4/20	381,688		7	654	606	47	5	1				
11/5/20	388,130		7	661	613	47	5	1				
11/6/20	392,969		6	667	616	50	4	1				
11/7/20	401,081		9	676	623	52	3	1				
