Date	Total Tests	Daily Tests (ECLRS)	New Positive Cases (NYSDOH)	Total Positive Cases (TCHD)	Released from Isolation (TCHD)	Active Cases (TCHD)	Active COVID-19 Hospitalizations (CHS)	Total TC Resident Deaths (TCHD)	NYS Vaccine Tracker: Tompkins County 1st Dose	NYS Vaccine Tracker: Tompkins County Complete Series	Reported Positive Self-Tests	Total Positive Self-Tests
6/29/22	1,917,961	402	12	22,412			5	63	86383	78981	6	3155
6/30/22	1,918,336	375	24	22,436			4	63	86383	78981	6	3161
7/1/22	1,918,689	353	30	22,466			5	63	86383	78981	5	3166
7/2/22	1,919,220	531	15	22,481			5	63	86469	79055	7	3173
7/3/22	1,919,310	90	12	22,493			2	63	86469	79055	4	3177
7/4/22	1,919,479	169	15	22,508			1	63	86469	79055	5	3182
7/5/22	1,919,536	57	27	22,535			0	63	86469	79055	7	3189
7/6/22	1,919,775	239	8	22,543			0	63	86469	79055	15	3204
7/7/22	1,920,240	465	21	22,564			3	63	86469	79055	12	3216
7/8/22	1,920,640	400	14	22,578			2	63	86469	79055	14	3230
7/9/22	1,921,097	457	20	22,598			1	63	86469	79055	5	3235
7/10/22	1,921,170	73	18	22,616			3	63	86469	79055	6	3241
7/11/22	1,921,355	185	3	22,619			3	63	86982	79055	4	3245
7/12/22	1,921,577	222	25	22,644			0	63	86982	79055	12	3257
7/13/22	1,921,972	395	24	22,668			0	63	86982	79055	9	3266
7/14/22	1,922,269	297	24	22,692			1	63	86982	79055	7	3273
7/15/22	1,922,712	443	26	22,718			0	63	86982	79055	4	3277
7/16/22	1,923,210	498	25	22,743			1	63	87170	79070	9	3286
7/17/22	1,923,282	72	15	22,758			2	63	87170	79070	10	3296
7/18/22	1,923,435	153	5	22,763			1	63	87170	79070	16	3312
7/19/22	1,923,634	199	26	22,789			1	63	87170	79070	13	3325
7/20/22	1,924,045	411	26	22,815			1	63	87170	79070	9	3334
7/21/22	1,924,463	418	23	22,838			2	63	87170	79070	15	3349
7/22/22	1,924,800	337	22	22,860			2	63	87170	79070	6	3355
7/23/22	1,925,202	402	14	22,874			4	63	87352	79114	6	3361
7/24/22	1,925,336	134	15	22,889			4	63	87352	79114	10	3371
7/25/22	1,925,411	75	21	22,910			5	63	87352	79114	5	3376
7/26/22	1,925,664	253	19	22,929			7	64	87352	79114	9	3385
7/27/22	1,926,108	444	39	22,968			8	64	87352	79114	8	3393
7/28/22	1,926,500	392	45	23,013			4	64	87352	79114	9	3402
7/29/22	1,926,867	367	26	23,039			6	64	87352	79114	7	3409
7/30/22	1,927,340	473	34	23,073			6	65	87432	79206	9	3418
7/31/22	1,927,412	72	13	23,086			7	65	87432	79206	5	3423
8/1/22	1,927,580	168	9	23,095			6	65	87432	79206	9	3432
8/2/22	1,927,773	193	23	23,118			7	65	87432	79206	13	3445
8/3/22	1,928,096	323	20	23,138			7	65	87432	79206	4	3449
8/4/22	1,928,406	310	19	23,157			6	65	87432	79206	6	3455
8/5/22	1,928,739	333	25	23,182			3	65	87432	79206	6	3461
8/6/22	1,929,152	413	11	23,193			2	65	87550	79352	7	3468
8/7/22	1,929,201	49	9	23,202			3	65	87550	79352	3	3471
8/8/22	1,929,325	124	3	23,205			2	65	87550	79352	4	3475
8/9/22	1,929,454	129	20	23,225			2	65	87550	79352	4	3479
8/10/22	1,929,812	358	31	23,256			2	65	87550	79352	6	3485
8/11/22	1,930,098	286	23	23,279			3	65	87550	79352	5	3490
8/12/22	1,930,358	260	19	23,298			3	65	87550	79352	5	3495
8/13/22	1,930,762	404	25	23,323			4	65	87550	79352	5	3500
8/14/22	1,930,847	85	18	23,341			6	65	87550	79352	2	3502
8/15/22	1,930,927	80	2	23,343			7	65	87686	79486	8	3510
8/16/22	1,931,185	258	11	23,354			7	65	87686	79486	9	3519
8/17/22	1,931,487	302	32	23,386			8	65	87686	79486	5	3524
8/18/22	1,931,742	255	22	23,408			5	65	87686	79486	9	3533
8/19/22	1,932,081	339	37	23,445			7	65	87686	79486	9	3542
8/20/22	1,932,439	358	17	23,462			6	65	87850	79614	2	3544
8/21/22	1,932,482	43	8	23,470			5	65	87850	79614	7	3551
8/22/22	1,932,636	154	7	23,477			7	65	87850	79614	9	3560
8/23/22	1,932,796	160	27	23,504			8	65	87850	79614	6	3566
8/24/22	1,933,182	386	32	23,536			6	65	87850	79614	10	3576
8/25/22	1,933,493	311	25	23,561			3	65	87850	79614	4	3580
8/26/22	1,933,787	294	17	23,578			5	65	87850	79614	4	3584
8/27/22	1,934,130	343	27	23,605			5	65	87980	79720	6	3590
8/28/22	1,934,177	47	9	23,614			3	65	87980	79720	11	3601
8/29/22	1,934,392	215	8	23,622			2	66	87980	79720	3	3604
8/30/22	1,934,612	220	42	23,664			4	66	87980	79720	9	3613
8/31/22	1,934,964	352	32	23,696			7	66	87980	79720	3	3616
9/1/22	1,935,322	358	41	23,737			5	66	87980	79720	3	3619
9/2/22	1,935,658	336	32	23,769			5	66	87980	79720	8	3627
9/3/22	1,935,899	241	18	23,787			5	66	88104	79809	2	3629
9/4/22	1,935,944	45	22	23,809			5	66	88104	79809	4	3633
9/5/22	1,936,082	138	8	23,817			7	66	88104	79809	5	3638
9/6/22	1,936,179	97	18	23,835			6	66	88104	79809	4	3642
9/7/22	1,936,338	159	25	23,860			7	66	88104	79809	10	3652
